"Month","Date","Cell","Line","Machine","Machine No","Shift","Category","Time","Problem","Cause Why1","Cause Why2","Cause Why3","Cause Why4","Cause Why5","Action","Counter Measure","Category","Is Action Temporary?","Done By","Status"
"May","27-05-2024 T05:41","Fuel Pump","Bearing Holder","PLATE TERMINAL PRESS FITTING","M-EN-FP-BRH-1-060-1","C","BM","20","Plate terminal is not picking up from resting jig.","l-side plate terminal was damaged during pick-up time","terminal proper not pick-up","terminal was stuck in terminal resting jig ","Dust was available","long use","terminal resting jig cleaning done. and suction unit cleaning done.","new jig making under progress","Problem Category- Mechanical,Breakdown Category- Wear","No","Sandeep Kumar","Completed"
"May","28-05-2024 T05:50","Injector","Housing-4","WIRE WINDING","HSG4-2010","C","BM","20","wire cut-1 operation error,fixed cutter loss found in station 1","wire cut-1 operation error","part crimping process cylinder reed switch not on ","part not properly crimping ","fixed cutter loose found","Cutter due to high vibration ","fix cutter tight done after that ok","pm point to be added","Problem Category- Mechanical,Breakdown Category- Process","No","Sandeep Kumar,Salman ","Completed"
"May","27-05-2024 T13:30","Injector","UC # 3","ULTRASONIC MACHINE","UC3-200","A","BM","20","Rinsing pressure fault","Rinsing line pressure switch output not come","Air blow time Pressure swing in water line pressure switch.","Air pressure not pass after line filter.","It's filter chocked.","","Air line pipe cleaning done ,filter ultrasonic washing done","its filter will be change with new  when recevie","Problem Category- Mechanical,Breakdown Category- Process","Yes","Keshav,Santosh kumar Majhi","Completed"
"May","27-05-2024 T03:30","Injector","UC # 3","SPRING AND  ADJ.PIPE ASSY ","UC3-080","C","BM","35","AJP loading fault was coming","AJP loading st. PH sensor was on continue"," AJP available outside jig ","Double AJP load","AJP stuck at feeding path","Moisture available in feeding path","Its feeding path open and cleaning done",".","Problem Category- Mechanical,Breakdown Category- Process","No","SAHIL SAINI,Parveen Kumar,Bikash Pradhan","Completed"
"May","28-05-2024 T12:52","Injector","Housing-4","FUSING MACHINE","HSG4-2020","A","CM","98","Weld-1 Displacement NG,every 4th part ng coming","displacement ng coming in weld 1 station","every 4th part ng coming","check winding machine 1st station part ng coming","part crimping higher side coming","crimping stroke ng ","fusing machine weld station alignment check as per PED requirement ,check crimping value by PRD side 1st station data higher side coming,winding m/c 1st station crimping stroke adjust as per requirement  . after that fusing machine displace data ok coming ","check pm time all station crimping ratio data check by PRD . if abnormal found then crimping adjusted.","Problem Category- Mechanical,Breakdown Category- Process","No","Tinku,Salman ","Completed"
"May","28-05-2024 T17:44","Fuel Pump","Bearing Holder","PLATE TERMINAL PRESS FITTING","M-EN-FP-BRH-1-060-1","B","BM","20","plate terminal p/f time right terminal bend","plate terminal p/f time right terminal bend","terminal pick position ng","terminal holding jig wear out","jig long use","jig wear and tear","right side terminal holding jig aligenment done","wear out part are in order 'we well change after reseve","Problem Category- Mechanical,Breakdown Category- Wear","No","Yogesh Kumar","Completed"
"May","28-05-2024 T02:55","Injector","Housing-1","WIRE WINDING","EIHS-031","C","BM","30","return conveyor broken","return conveyor chain  broken","convyear chain wear out ","not clear but suspect pallet stuck",".",".","broken chain remove and new chain add done ","NA","Problem Category- Mechanical,Breakdown Category- Wear","No","Tarkeshwar Prasad","Completed"
"May","28-05-2024 T11:30","Injector","UC # 2","Ultrasonic Washing Machine","EIAS-250","A","CM","580","Wave generation frequency observed low side in Tank-1 wave generator unit.","Oscillator 1 frequency low","Oscillator Piezoelectric material damaged with its mounting bolts","Very high vibrations in the oscillator unit","Generator Operating on 3 times more Power than the Spec","Wrong spec settings","Spare Oscillator kept in tool room, repaired by using the OK parts from the machine NG Oscillator ,Repaired Oscillator assembled in machine after that machine handover to PRD","1. Conclude with PED for Spec reduction and control. 
2. Set Sound wave in Optimum Level with PED In shutdown..
3. Procedure to be developed for Optimum setting of Sound wave ","Problem Category- Both,Breakdown Category- Part-Failure","No","Kartikey,Keshav,Gaurav,Akshay,Santosh kumar Majhi","Under PRD HOD Approval"
"May","29-05-2024 T07:25","Fuel Pump","FP-Armature","POWDER COATING","M-EN-FP-ARM-1-050-1","A","BM","20","part rotating belt pully not rotate properly  ","Powder on core sheet coming in auto","part rotating belt pully not rotate properly","pulley stuck in screw side ","unit alignment ng ",".","bronze plate area rotating unit alignment done after that ok","Check/Revise pm point","Problem Category- Mechanical,Breakdown Category- Process","No","Tinku,Salman ","Completed"
"May","30-05-2024 T11:00","Injector","Housing-2","FUSING","HSG2-2020","A","CM","20","weld-1 unit air cooling pipe bend","weld-1 unit air cooling pipe bend","PIPE MOUNTING LOSSE","HAND TOUCH DURING ELECTROD CHANGE","SPACE ISSUE ",".","AIR PIPE TIGHT DONE AND PIPE  ALIGNMENT DONE","CHECK POINT OF PM ","Problem Category- Mechanical,Breakdown Category- Human","No","Tinku,Salman ","Completed"
"May","30-05-2024 T07:00","Fuel Pump","SIFS # 6","Lead Wire and Bracket C Assembly Machine","M-EN-FP-SIF-6-100-1","A","CM","40","Flange holding jig base broken","Flange holding jig base broken","bolt broken in side off plate ","during process",".",".","BROKEN BOLT REMOVE DONE AND BROKEN SHAFT REPAYER DONE AFTER THAT OK","","Problem Category- Mechanical,Breakdown Category- Process","No","Tinku,Salman ","Completed"
"May","30-05-2024 T11:22","Injector","Housing-1","HOUSING MOULDING","EIHS-091","A","CM","20","master on button cover broken","master on button cover broken","switch glass gripping portion broken ","Part broken ","due to continuous use ","..","master on switch change with another one then ok","so master on switch change with another one then ok","Problem Category- Electrical,Breakdown Category- Part-Failure","No","Tinku","Completed"
"May","30-05-2024 T10:22","Fuel Pump","SIFS # 6","Main Tube Assembly Machine (YRA)","M-EN-FP-SIF-6-030-1","A","CM","20","Zebra tube Height setting gauge alignment disturb","Zebra tube Height setting gauge alignment disturb","Height setting gauge mounting was loose","every cycle movement happen & hit on stopper. that time jerking happen","..","..","properly tight the bolt and alignment done then ok","so again properly tight the bolt and alignment done then ok","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Tinku","Completed"
"May","30-05-2024 T12:20","Fuel Pump","SIFS # 3","Electrical Inspection M/c","M-EN-FP-SIF-3-270-1","A","CM","20","counter not reset not happen","counter not reset not happen","conter reset button damege ","wear and tear",".",".","counter relay change with new after that ok","check pm time","Problem Category- Electrical,Breakdown Category- Wear","No","Tinku,Salman ","Completed"
"May","30-05-2024 T13:09","Injector","UC # 2","Nozzle Body Press Fitting","EIAS-120","A","BM","20","Palletizer unload station fault","Magazine Discharge conveyor not run","Magazine   left side chain broken","Chain link  broken","Drop part stuck inside chain",".","Broken chain link change with new one","Already chain check point add in PM check sheet","Problem Category- Mechanical,Breakdown Category- Wear","No","Keshav","Completed"
"May","30-05-2024 T13:40","Injector","Housing-3","LASER MARKING MACHINE","HSG3-4020","A","BM","30","Resistance NG coming","Resistance NG coming","resistance value higher side coming","probe condition not good","terminal touching portion wear out","probe unit alignment disturb","probe change with new and probe unit alignment done then ok","so probe change with new and probe unit alignment done then ok","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Tinku","Completed"
"May","30-05-2024 T17:00","Injector","Housing-1","HOUSING MOULDING","EIHS-091","B","BM","65","Robot stop on Die during part unloading","Robot signal malfunctioning when going on Die for part unloading","Robot turn/return issue","Turn /Return Cylinder stroke not complete","Recently signal wire change given more force on turn cylinder","Signal wire is very hard & its dressing not proper as per requirement","Robot signal wire dressing done , to run line.","We make plan to change this wire with flexible signal wire","Problem Category- Electrical,Breakdown Category- Process","Yes","Arun","Completed"
"May","31-05-2024 T11:50","Injector","Housing-2","LASER MARKING MACHINE","HSG2-4020","A","CM","150","Step dimension ng coming continually,impluse ng coming after unit alignment","Step dimension ng coming continously after model change over in dual model","Checked megnascale  & found value in lower side of spec (Spec : 10.3 to 10.7)","unit alignment ng","impulse ng coming after unit alignment","impulse wire continuity ng coming due to wire broken found ","Checked offline & found parts Ok.,Checked magnascale & found value in lower side of spec (Spec : 10.3 to 10.7),Alignment of probes checked wrt Master & part.,Robot teaching done for P22 (X-axis forward by 0.1 mm) but no impact.,Probes cleaning done.,Robot teaching done for P72 & P74 (X-axis backward by 0.1 mm) : frequency reduced.,Probe condition checked & found slight bend so alignment done,After alignment impulse ng started coming so checked Impulse OK Master & it came NG.,Continuity checked & found wire is internally broken so changed.,After wire change unit alignment done & OK.","Probe design to be changed after discussion with PED","Problem Category- Both,Breakdown Category- Design","No","Yogesh Kumar,Tinku,Salman ","Under PRD HOD Approval"
"May","31-05-2024 T12:18","Fuel Pump","Bearing Holder","PIGTAIL HOT STACKING ","M-EN-FP-BRH-1-050-1","A","BM","20","off location fault was coming & fault reset not happen","off location fault was coming & fault reset not happen","this fault coming after process complete","part confirmation signal some time not coming","sensor beam properly not coming ","sensor cleaning and alignment disturb","cut the sensor fiber for beam transfer and sensor alignment done then ok","so cut the sensor fiber for beam transfer and sensor alignment done then ok","Problem Category- Electrical,Breakdown Category- Communication","No","Tinku","Completed"
"May","31-05-2024 T23:45","Injector","Housing-2","MOLDING MACHINE","HSG2-4010","C","BM","10","Part lift up fault come in both die some time ","In both die part set ok but sensor was showing part set up side ","On part set ok condition sensor value coming lower side ","In sensor laser face side dust accumulated ","-","-","Both side sensor laser area cleaning done with whatman paper after that ok ","-","Problem Category- Electrical,Breakdown Category- Human","No","Anil Kumar","Completed"
"May","31-05-2024 T09:02","Fuel Pump","Suction Filter","Laser cutting","M-EN-FP-SUF-1-010-1","A","CM","58","Screen not cut properly during  to centering disturb","screen hole centering disturbed found during laser cutting","check jig centering found disturb","robot head cutting position disturb ","not clear",".","laser screen jig centering alignment done with position p2 adjust after that ok,before p2 position     X-9.56 and Y-266.44   after change data  X-9.3 and Y-266.5 after that ok ","jig centering check by PRD","Problem Category- Electrical,Breakdown Category- Process","No","Tinku,Salman ","Completed"
"June","01-06-2024 T11:30","Fuel Pump","SIFS # 6","Electric Inspection Machine","M-EN-FP-SIF-6-140-1","A","BM","60","No judgement given (OK/NG)by m/c,sender gauge assy. resistance lower side coming","cycle time over fault coming","machine process stop during auto cycle","sender gauge assy. resistance lower side coming ","plc side judgment hold due to compere value equal  coming","","change the connector,change the resistance lower value by PED on machine HMI data after that ok","PED revise the PCS ","Problem Category- Electrical,Breakdown Category- Communication","No","Tinku,Salman ","Completed"
"June","02-06-2024 T12:25","Injector","Housing-2","TERMINAL PRESS FIT & HEIGHT CHECK","HSG2-1010","A","BM","50","spool holding flip unit pin broken","spool drop during auto running condition","spool holding flip unit pin broken","pin thread portion was damage","during turn/return pin hit on stopper","turn/return speed was very high","take out the unit and pin change with new  & alignment done also speed adjusted done.","so take out the unit and pin change with new  & alignment done also speed adjusted done.","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Tinku,Salman ","Completed"
"June","03-06-2024 T07:27","Fuel Pump","Bearing Holder","BEARING PRESS FIT","M-EN-FP-BRH-1-010-1","A","BM","40","Ring Loader cylinder  not working","Ring Loader cylinder  not working","cylinder anable to transfer the down side ","cylinder air not exhaust","speed controler was chock","FM ACCUMULATED IN SPEED CONTROLER ","SPEED CONTROLER CHANGE WITH NEW AND CYLINDER AIR PORT CLEANING","PM TIME CYLINDER MOCTION CHECK","Problem Category- Pneumatic,Breakdown Category- Wear","No","Yogesh Kumar","Completed"
"June","03-06-2024 T06:10","Fuel Pump","FP-Armature","ARMATURE CNC # 3","M-EN-FP-ARM-1-140-3","A","BM","51","Turret index aborted fault coming","turret  motion was not happening ","turret motor have no proper (415v)","turret power cable was damaged ","turret cable have motion in every cycle","due to countinues used cable got internal cracked (1 per year changed )","turret power cable changed with new.,power cable proper dressing done.","proper dressing done and change 1/year (During Shut down)","Problem Category- Electrical,Breakdown Category- Wear","No","Sandeep Kumar,Arun","Completed"
"June","03-06-2024 T07:30","Injector","Housing-2","LASER MARKING MACHINE","HSG2-4020","A","BM","40","Step dimension ng coming all cavity","Step dimension ng coming all cavity","Step dimension value higer side coming","one prob move more down ","one prob not touch terminal","aligenment disturb ","prob aligenment done then ok","prob design modifaction under study","Problem Category- Mechanical,Breakdown Category- Design","No","Yogesh Kumar","Completed"
"June","03-06-2024 T07:25","Injector","UC # 3","LASER WELDING & MARKING","UC3-030","A","BM","35","Marking ST height check cylinder cycle time high was coming.","Height Check St cycle time high was coming.","Cylinder motion not proper.","Pneumatic flow not proper.","Cylinder upper motion speed controller malfunctioning.","Speed controller found chocked due to dust.","try to adjust speed but no adjusted.,Change the spacer with spare.,Cylinder lubrication done but no impact.,cylinder up motion speed controller with new after that OK.","Change speed controller with new.","Problem Category- Pneumatic,Breakdown Category- Part-Failure","No","Kartikey","Completed"
"June","03-06-2024 T06:40","Injector","UC # 3","SPRING AND  ADJ.PIPE ASSY ","UC3-080","A","BM","10","AJP  Loading cycle time over fault","Double AJP were being loaded in table jig","AJP were being stuck with each other ","Due to moisture ","Moisture coming from Ultrasonic washing machine ( due to Rinsing line filter chock )","Sapre  filter awaited ","AJP feeding path open and cleaned ","Stock Spare Control mechanism to be strengthen with Tool room ","Problem Category- Mechanical,Breakdown Category- Wear","No","Gaurav","Completed"
"June","03-06-2024 T14:00","Injector","Housing-4","LASER MARKING MACHINE","HSG4-4020","A","BM","30","part side pipe have dent ","part side pipe have dent ","part hit on sensor stay during part transfer","part loading cylinder goes down during transfer","suspeted air lekage from spacer",".","spacer and solinod inter change with other station and machine run ok and ,u/o","again problem coming then cylinde reed switch check","Problem Category- Pneumatic,Breakdown Category- Process","Yes","Yogesh Kumar","Completed"
"June","03-06-2024 T17:20","Injector","UC # 3","O RING AND BACKUP RING ASSY","UC3-160","B","BM","55","C.T. was high coming ( 3.2~3.3 )","Lower o-ring trasfer loder waiting","Lower o-ring late coming at escape unit","Lower o-ring transfer cylinder motion not smooth","Cylinder seal  damage","Due to long run","Lower o-ring transfer cylinder change and its alingment done,Before escape PH sensor alignment done","NA","Problem Category- Mechanical,Breakdown Category- Wear","No","Parveen Kumar,Bikash Pradhan","Completed"
"June","03-06-2024 T01:00","Injector","Housing-1","LASER MARKING","EIHS-101","C","BM","20","impulse check unit wire broken","impulse check ng coming ","impulse check station prone wire broken ","During motion wire movement available ",".",".","broken wire thembling done","Already PM point available","Problem Category- Electrical,Breakdown Category- Wear","No","Tinku,Salman ","Completed"
"June","04-06-2024 T15:55","Injector","UC # 3","NOZZLE BODY PRESS FITTING","UC3-020","B","BM","25","RB-1 home position not coming.","RB-1 home position not coming.","RB-1 waiting for some conf. ","Shutter area pass possible condition not coming.","Child part drop at shutter movement area.","Child part drop during loading unloading time.","Try to Rb-1 manually home position done.,M/C power reset done.,Then Check PLC found Palletizer home position not coming so manually home position done after that RB homeposition coming after that OK.","Remove all drop part from movement area.","Problem Category- Mechanical,Breakdown Category- Process","No","Kartikey","Completed"
"June","04-06-2024 T22:05","Fuel Pump","Bearing Holder","BEARING PRESS FIT","M-EN-FP-BRH-1-010-1","B","BM","10","Machine not come in a home position ","Machine not come in a home position","Ring Loader not working","Ring loader cylinder side air leakage available","Speed controller was faulty","Its inside o ring was damage because of continue running","Change speed controller with  new ","-","Problem Category- Pneumatic,Breakdown Category- Wear","No","Yogesh Kumar","Completed"
"June","05-06-2024 T03:36","Fuel Pump","Bearing Holder","ELECTRICAL   INSPECTION","M-EN-FP-BRH-1-140-1","C","BM","20","right side continuity continuously NG coming,during part clamp machine stand rotate","right side continuity continuously NG coming","during part clamp machine stand rotate","machine stand block set screw damage","head damage ",".","machine stand block set screw change with new","check pm point","Problem Category- Mechanical,Breakdown Category- Human","No","Tinku,Salman ","Completed"
"June","05-06-2024 T18:05","Fuel Pump","Bearing Holder","ELECTRICAL   INSPECTION","M-EN-FP-BRH-1-140-1","B","BM","25","Right side contact check NG coming","Right side  check NG fault coming","Upper side probe not a touch on carbon brush ","Probe alignment  disturb ","Probe holder mounting block mounting was loosed","Its mounting grub screw end head damage ","Upper and lower both side probe cleaning done ,Upper side probe alignment done w r t on part ","-","Problem Category- Electrical,Breakdown Category- Wear","No","Anil Kumar,Tarkeshwar Prasad","Completed"
"June","05-06-2024 T19:10","Injector","UC#1","Upper O-ring & Nozzle Leak Inspection & Sleeve Presence Check Machine","EICI-091","B","BM","75","Nozzle leak master check condition not coming  ( dip switch settiing No. 1)","Part detection not happening ","Input 1.07 is continue off ","Sensor side Oil fumes there available ","Last process oil accumulate","Sensor to be cleaned 1/shift","All sensor condition checked and found  sensor n. 107 was continue off ,lens added on sensor n. 107 then working OK .,No abnormality found so Model revert to MUC  ( dip switch setting  n. 14)","information given to Prd to clean sensor during JIG cleaning ","Problem Category- Electrical,Breakdown Category- Process","No","Kartikey,Gaurav","Completed"
"June","05-06-2024 T18:30","Fuel Pump","Bearing Holder","LOAD CHECK M/C","M-EN-FP-BRH-1-130-1","B","BM","50","oad check Magne scale value coming ng","Linear Gauge (magnacale) value coming NG at the higher side","Linear gauge was malfunctioning","Linear Gauge was malfunctioning due to its probe getting stuck during the process","Probe getting stuck due to accumulation of chips & FM particles or misalignment","FM particles came from the bearing holder part during the load check process & misalignment happened due to continuous running.","Linear Gauge (Magnascale) value coming higher than the spec. (6.30~6.42) Home Position final vale was fluctuating.,Due to chips & FM particles the tip portion of probe of linear gauge was getting stuck and thus the value was fluctuating at the higher side in microns. ,Chips & FM particles cleaned and linear gauge retightened properly & its slightly adjustment done as value was fluctuating in microns. After that machine running okay","Linear Gauge condition & its alignmnet will be checked in the upcoming June 2024 shutdown.","Problem Category- Both,Breakdown Category- Process","No","Anil Kumar,Tarkeshwar Prasad","Completed"
"June","06-06-2024 T01:57","Injector","Housing-2","LASER MARKING MACHINE","HSG2-4020","C","BM","40","TERMINAL POSITION CHECK NG COMING","TERMINAL POSITION CHECK NG COMING","terminal position check gap sensor signal malfunction ","sensor wire interlay  damage","during cylinder motion wire movement available",".","position check sensor change with new ","sensor wire dressing route change ","Problem Category- Electrical,Breakdown Category- Wear","No","Tinku,Salman ","Completed"
"June","05-06-2024 T11:30","Injector","UC # 2","Connector Press Fitting","EIAS-200","A","BM","150","Load Fault observed   in M/c during auto running .","Continue Part NG was coming jig no-2","Lift value not coming in Jig no-2","As per PRD info. one part damage during pressfitting in jig-2.","Double connector insert in part.","Human Error.","Servo position check both jig found NG in Jig-2.,Open both jig ultrasonic washing done after assy. check servo position  coming  OK.,Pressfit pin and measurement pin  changed with new.,Servo position check both jig again found OK.,Pin centering check found OK.,Master check time continuity NG coming.,Probe alignment check and found OK.,Right side probe changed with new.,Again open the measurement pin and pressfit pin and reassemble again after that OK.","One Point lesson given to all PRD TMS and MTD side we will study for Connector reverse machine ID interlocking by 30-Jun <ID interlock not feasible>","Problem Category- Mechanical,Breakdown Category- Human","No","Kartikey","Under PRD HOD Approval"
"June","06-06-2024 T02:05","Fuel Pump","Bearing Holder","CHOKE COIL WINDING M/C-2","M-EN-FP-BRH-1-070-2","C","BM","60","machine cycle stop happen in auto running condition","machine cycle stop happen in auto running condition","forming cycle time over coming","left side forming position disturb","forming unit mounting bole broken","mounting thread was damage","remove the broken bolt  and repair the mount plate thread and forming unit position adjusted done then ok ","so remove the broken bolt  and repair the mount plate thread and forming unit position adjusted done then ok ","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Tinku","Completed"
"June","07-06-2024 T13:49","Injector","UC#1","Seat Oil Leakage Inspection","EICI-052","A","BM","41","Bubble shifting issue","Insp. time bubble shifting.","Air accumulate in oil insp. circuit.","Some leakage from insp circuit.","Insp time part packing not proper.","flange o-ring wear out.","oil tub cleaning done and flange cleaning done.,Air release done of insp. circuit.,head gaskit changed with new.,change flange o-ring with new and air release done.","Flange o-ring changed with new.","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Kartikey","Completed"
"June","07-06-2024 T15:15","Fuel Pump","Suction Filter","Laser cutting","M-EN-FP-SUF-1-010-1","B","CM","83","In yl7 model centre hole cutting was shifted upper side ","Laser cutting was shifted in upper side 4mm ","Machine jig side also 4 mm shifted ","Root cause not clear but suspected cause could be-","1. Jig on which screen roll available for cutting  might be shifted. ","2. Dust protection Metal Strip of YAMAHA robot wear out due to continuous running ( not visible from outside)","Machine Jig side (origin center point ) position found disturbed,Origin point P2 position adjusted ( X and Y ),YRA model  found okay but other models were NG,Model wise robot hole cutting position adjusted (X & Y),All models checked by PRD,Running model YL7 production resumed after all quality checked","1. Job procedure for Robot Teaching and Centering check will be prepared.
2. Dust protection metal strip of yamaha actuator will be changed with new","Problem Category- Both,Breakdown Category- Process","Yes","ANKUR BANSAL,Sandeep Kumar,Anil Kumar,Tarkeshwar Prasad","Completed"
"June","07-06-2024 T21:43","Injector","Housing-3","HOLDER, PLATE & PIPE PRESS FIT MACHINE","HSG3-3020","B","BM","80","latch up down fault coming","latch up down fault coming","latch down cnf not coming","latch down reed switch not on ","cylinder rod come out ","cylinder rod piston wear out ","so damage cylinder remove and assy done new cylinder then mc run ok ","Cylinder Life Monitoring with Cylinder speed ","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Tarkeshwar Prasad","Completed"
"June","08-06-2024 T09:00","Injector","Inlet","Assembly & Bolt Tightening-4","M-EN- IN-INP-4-01-010","A","CM","30","Dent mark coming on first part only after model change.","dent mark coming on part.","dent coming during clamping time.
","Part guide is in wear out condition.","wear out part life over ","-","Part clamping finger  guide change with new.,part clamping cylinder interchange with new.","-","Problem Category- Mechanical,Breakdown Category- Wear","Yes","Kartikey","Completed"
"June","08-06-2024 T12:00","Injector","UC#1","SUB ASSY WASHING","EIAS-081","A","BM","40","part loading sensor fault coming","part conf . not coming","short nozzle conf. sensor malfunctioning ","some time part shifting during unclamping","before with PED activity low pressure nozzle direction found disturb so adjusted","adjust for perfect washing of part","part conf. sensor cleaning done ,part conf. sensor checked found ok,part conf. sensor set value adjusted but same so revert,short nozzle  conf. sensor 7.15 some time malfunctioning so cleaning done ,sensor set value adjusted 105 to 60 after that machine run ok","N/A","Problem Category- Electrical,Breakdown Category- Process","No","Kartikey","Completed"
"June","07-06-2024 T20:30","Fuel Pump","SIFS # 4","Air Leak Test","M-EN-FP-SIF-4-190-1","B","TPM","60","CT reduction activity through hand movement eliminated by hand valve removed.","CT reduction activity through hand movement eliminated by hand valve removed.","per cycle 0.3 sec time saved ",".",".",".","so solenoid add and plc side programm modification done ",".","Problem Category- Electrical,Breakdown Category- Process","No","Tarkeshwar Prasad","Completed"
"June","17-06-2024 T06:10","Injector","UC # 3","SLEEVE ASSY AND APPEARANCE CHECK","UC3-170","A","BM","360","Resistance  coming NG (1.02~1.5 ohm)  Spec:11.8~12.6 ohm","There was shorting in the resistance check circuit","It was found short in the probe thimble","Sleeve was damage by mounting bolt","Bending angle of wire is 90 degree","Probe mounting design concern","Probe alignment done,Probe changed,Replaced the relay  CR70709.2,Re-thimbling done in wire and sleeve covered,Probe gap adjusted ( details are in attached file )","Connector Mounting Block design to be modified 
Sleeve wear out check point to be added along with strip","Problem Category- Electrical,Breakdown Category- Wear","No","SOURABH GUPTA,Parveen Kumar,Akshay,Bikash Pradhan,Sumit Kumar","Under PRD HOS Approval"
"June","17-06-2024 T15:02","Fuel Pump","FP-Armature","WINDING MACHINE # 2","M-EN-FP-ARM-1-100-2","B","BM","30","53 fault coming ","53 fault coming ","wire broken from r side","pulley guide plate was broken","plate little bit crack in mid portion","..","same size  plate not available in spare.. so temporary one plate assy done then ok","same size  plate not available in spare.. so temporary one plate assy done then ok","Problem Category- Mechanical,Breakdown Category- Part-Failure","Yes","Tinku","Completed"
"June","17-06-2024 T16:38","Injector","UC#1","Ultrasonic Washing Machine","EICI-121","B","BM","40","washing lift swing fault coming ","lifter cylinder confirmation not coming within the time window","lifter clinder upward speed slow","Under investigation","","","lifer cylinder Lubrication done and speed increased after that OK","","Problem Category- Mechanical,Breakdown Category- Process","No","Akshay","Completed"
"June","18-06-2024 T08:15","Fuel Pump","FP-Armature","WINDING MACHINE # 2","M-EN-FP-ARM-1-100-2","A","BM","30","53 foult coming due to right side wire broken","53 foult coming "," wire was broken","wire come out from pully","wire guide plate broken ","wear and tear","changed with new pully protactor plate. after that m/c runing ok.","pm time check and changed ","Problem Category- Mechanical,Breakdown Category- Wear","No","Sandeep Kumar,Anil Kumar","Completed"
"June","18-06-2024 T12:15","Injector","Housing-4","FUSING MACHINE","HSG4-2020","A","BM","60","Displacement NG from Weld-2","Displacement value going on lower side of spec (Spec : 30~150)","Cylinder motion abnormal ","Cylinder inside belform damage ","-","-","Checked & found displacement NG was coming only from weld-2 after electrode change-over,Observed displacement value was varying with every part,Weld-2 forward speed adjusted but no impact,Weld-2 belform cylinder changed with new then NG part frequency reduced.,Asked PRD to take jig wise data of crimping from winding machine,Found crimping ratio of St. 2 & 3 is less so increased crimping after that OK.",".-","Problem Category- Mechanical,Breakdown Category- Process","No","Sandeep Kumar,Tarkeshwar Prasad","Completed"
"June","19-06-2024 T04:50","Injector","Housing-2","TERMINAL PRESS FIT & HEIGHT CHECK","HSG2-1010","C","BM","45","ter. drop r side","r side terminal not press fit ","press fit time terminal drop","terminal not proper chuck in chuck finger ","terminal chuck cylinder alignment ng from mounting","-","terminal chuck cylinder alignment done","-","Problem Category- Mechanical,Breakdown Category- Process","No","Yogesh Kumar","Completed"
"June","19-06-2024 T08:15","Fuel Pump","FP-Assy","PERFORMANCE INSPECTION","M-EN-FP-FPA-1-230-1,2","A","BM","30","Some time pallet not transfer from loading conveyor ","In auto cycle pallet transfer not happen ","Auto cycle ID read not happen ","ID read sensor was faulty ","Its head was damage ","Pallet touch on its face ","Lifter up and down speed adjusted from cylinder ,Replace ID read sensor with new and its position adjusted ","-","Problem Category- Electrical,Breakdown Category- Wear","No","Sandeep Kumar,Anil Kumar","Completed"
"June","19-06-2024 T10:20","Injector","UC # 3","DYNAMIC FLOW ADJUSTMENT & INSPECTION","UC3-112","A","BM","15","Machine silent stop","M/C cycle stop","Auto running condition goes"," Measurment time Its 300KPA pressure low (298.40kpa )            ( spec 298.5 ~301.5kpa )","Pressure set value was lower side","na","300 KPA pressure increase","","Problem Category- Mechanical,Breakdown Category- Process","No","Parveen Kumar,Bikash Pradhan","Completed"
"June","19-06-2024 T20:11","Fuel Pump","FP-Assy","MAGNET & SPRING ASSY","M-EN-FP-FPA-1-030-1","B","BM","30","spring was damage in magnetazation st.","spring was damage in magnetazation st.","spring little lower side presed ","Magnet position was not OK",".JIg Wear out",".","spring pf cylinder stroke decrese ",".Jig will change with new one (T.D, := 23/06/2024)","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Tinku,Tarkeshwar Prasad","Completed"
"June","19-06-2024 T20:30","Injector","Housing-3","LASER MARKING MACHINE","HSG3-4020","B","BM","20","resistance ng coming ","resistance ng coming","resistance value going out of spec","probe not making contact","probe wire found broken ","-","so prob wire resoldring done ","-","Problem Category- Electrical,Breakdown Category- Wear","No","Tinku,Tarkeshwar Prasad","Completed"
"June","19-06-2024 T18:30","Injector","Housing-2","MOLDING MACHINE","HSG2-4010","B","BM","30","mc stop at auto cycle ","mc stop at auto cycle ","robot stop at die unloading area ","pipe chuck cnf not coming ","reed switch not on ","reed switch position disturb ","so reed switch adjust as per requirement ","Reed switch looseness check in PM ","Problem Category- Electrical,Breakdown Category- Part-Failure","No","Tinku,Tarkeshwar Prasad","Completed"
"June","20-06-2024 T21:56","Fuel Pump","FP-Armature","POWDER COATING","M-EN-FP-ARM-1-050-1","B","BM","15","Blow hole defects coming from both side","Blow hole defects coming from both side","some time powder not apply in part ","under analysis","under analysis","under analysis","prd clean the powder tank and new powder add then m/c run and u/o..","prd clean the powder tank and new powder add then m/c run and u/o..","Problem Category- Mechanical,Breakdown Category- Process","No","Tinku","Completed"
